Symbol,Close,ml_confidence,expected_5d_return,Risk_Score,Risk_Category,Market_Anomaly_Active,Action_Item,Quantitative_Justification
ADANIPORTS,470.75,0.5292429812550213,0.0020914937724928,35.0,Medium Risk,0,BUY,The asset shows solid upward momentum (Confidence: 52.9%) with a projected 5-day horizon return of +0.21%. Risk frameworks verify this security is within acceptable bounds (Risk Score: 35.0).
ASIANPAINT,2642.55,0.5163642964050148,-0.015991477849667736,67.5,High Risk,0,HOLD,"ML model indicates an upward trend (+-1.60% expected), but the asset belongs to a volatile historical risk category (Score: 67.5). Re-allocating exposure to a defensive posture."
AXISBANK,592.45,0.43103957916323066,-0.004563615349094471,76.4,High Risk,0,SELL,Downward trend or flat performance expected over the next 5 sessions (Projected Change: -0.46%). Pruning positions to avoid near-term capital drawdowns.
BAJAJ-AUTO,3309.65,0.5176544976792211,-0.002251466234265643,30.7,Medium Risk,0,BUY,The asset shows solid upward momentum (Confidence: 51.8%) with a projected 5-day horizon return of +-0.23%. Risk frameworks verify this security is within acceptable bounds (Risk Score: 30.7).
BAJAJFINSV,9013.25,0.5135708051826208,-0.024685795848651416,29.3,Low Risk,0,BUY,The asset shows solid upward momentum (Confidence: 51.4%) with a projected 5-day horizon return of +-2.47%. Risk frameworks verify this security is within acceptable bounds (Risk Score: 29.3).
BAJAUTOFIN,772.8,0.5993169464658661,6.529975315044537e-05,15.4,Low Risk,0,BUY,The asset shows solid upward momentum (Confidence: 59.9%) with a projected 5-day horizon return of +0.01%. Risk frameworks verify this security is within acceptable bounds (Risk Score: 15.4).
BAJFINANCE,5088.9,0.4439773827325087,-0.09347892426138346,76.1,High Risk,0,SELL,Downward trend or flat performance expected over the next 5 sessions (Projected Change: -9.35%). Pruning positions to avoid near-term capital drawdowns.
BHARTIARTL,507.2,0.42893922042216076,-0.009651482097305429,28.2,Low Risk,0,SELL,Downward trend or flat performance expected over the next 5 sessions (Projected Change: -0.97%). Pruning positions to avoid near-term capital drawdowns.
BPCL,374.4,0.5188550375472831,0.0006813768157940741,67.5,High Risk,0,HOLD,"ML model indicates an upward trend (+0.07% expected), but the asset belongs to a volatile historical risk category (Score: 67.5). Re-allocating exposure to a defensive posture."
BRITANNIA,3625.35,0.5457998933572197,0.00080965437920395,61.4,High Risk,0,HOLD,"ML model indicates an upward trend (+0.08% expected), but the asset belongs to a volatile historical risk category (Score: 61.4). Re-allocating exposure to a defensive posture."
